"","logFC","logCPM","PValue","FDR"
"YKL104C",0.87914505219216,8.54967173779007,3.04040492039445e-44,1.09695584841305e-42
"YDR452W",0.977264099672726,8.17261809761503,4.48181282921839e-44,1.60720524305971e-42
"YOR375C",0.574504630174816,9.84556932620928,7.40652984546371e-44,2.64002633106077e-42
"YBR048W",-0.487935712262937,9.90501769439429,7.82317367981968e-44,2.77183944092773e-42
"YBR218C",-0.723974435029005,8.74799048595233,2.68759680410698e-43,9.46577993446487e-42
"YLR438W",-2.08520013360765,6.13588522283987,3.26024393006867e-43,1.14147120320806e-41
"YKL065C",1.02703627040781,8.07550619751769,5.3069444038655e-43,1.84712882574542e-41
"YGL062W",1.00465584349077,8.25901744127495,1.26819149536694e-42,4.38823922695098e-41
"YMR189W",-1.70265116123755,6.36847466490864,2.08645385417092e-42,7.17764386926123e-41
"YOR230W",-0.758725345936959,8.75077979660704,6.1504542956165e-42,2.10359757613658e-40
"YGR027C",0.456421439215265,10.3540731941933,6.58508125558566e-42,2.23930607984485e-40
"YLR155C",0.993082417419496,8.05045403729502,7.11990343132661e-42,2.39762971736188e-40
"YLR157C",0.993082420572488,8.05045403729502,7.15087250469867e-42,2.39762971736188e-40
"YLR158C",0.993082424501004,8.05045403729502,7.18964949578718e-42,2.39762971736188e-40
"YLR160C",0.993082429348782,8.05045403729502,7.23779322817011e-42,2.39762971736188e-40
"YOR227W",1.15537988784936,7.69357878567856,7.25326549615983e-42,2.39762971736188e-40
"YHL050C",1.98444276554231,7.16663544845672,2.01532399934964e-41,6.62481783563991e-40
"YHL020C",1.19398733714764,7.60986119089698,5.5421630084951e-41,1.81176676913069e-39
"YER053C",-1.17068724879799,7.30731631855997,2.31016155610418e-40,7.51056369641124e-39
"YDR044W",-1.15520543448373,7.47659070614456,4.54962364958916e-40,1.47104498003383e-38
"YIL117C",1.26038104716088,7.58167531104543,6.61803480969038e-40,2.12820173744228e-38
"YKL141W",1.33188222178155,7.3042657133337,1.13942335291522e-39,3.64430701578343e-38
"YLR249W",-0.271202204869005,11.5944774519752,3.72271439366706e-39,1.18426349824344e-37
"YLR109W",0.30524519523419,11.7657844496086,3.82163103092488e-39,1.20922945507928e-37
"YLR332W",0.938703914309816,8.14175431667689,5.00883729090359e-39,1.57645160905726e-37
"YHR026W",0.842792977605792,8.34219365540404,6.39956730502646e-38,2.0035047483514e-36
"YER133W",1.04916763403178,7.79043202870512,1.08288410054021e-37,3.37232906468234e-36
"YNL217W",-1.39329065601545,7.1386200750481,2.93232684428425e-37,9.0840722186544e-36
"YDR399W",-1.42846882548046,7.0518295746022,3.62447198569847e-37,1.11697920517593e-35
"YNL134C",-1.12293373526032,7.31003317554799,5.1083825295986e-37,1.56612950402253e-35
"YGL035C",1.14808207579996,8.02806679626759,5.39039744273865e-37,1.64407122003529e-35
"YKL117W",0.526141553319453,9.55959532662503,7.34814744435174e-37,2.22969171426817e-35
"YLR056W",-0.716148265022056,8.5150462266993,7.39775385974995e-37,2.23329130551737e-35
"YMR116C",-0.28648602902903,11.4033692625022,8.17542599917483e-37,2.45553277345774e-35
"YEL034W",-0.427222272217135,10.027207614255,1.93868174992341e-36,5.79352520924082e-35
"YHR094C",0.919014761577011,8.12472967184727,4.90238801782648e-36,1.45765979404419e-34
"YDR216W",1.66834634254075,6.90498824710723,7.57469356534362e-36,2.24097309130691e-34
"YGR138C",-1.92544312613679,6.25233470374112,8.00013762728363e-36,2.35506539008146e-34
"YNL079C",0.616215468744171,9.00007653895927,8.04852110622208e-35,2.3575791775008e-33
"YPR008W",1.08714171955088,7.61243216223903,8.95846505237697e-35,2.61119397610416e-33
"YJR010W",1.76725245364193,6.69655688298436,1.06574744834344e-34,3.09119002541575e-33
"YKL032C",0.843568857289523,8.26873381519349,2.09179360953478e-34,6.03763062810599e-33
"YER150W",-1.52439786004205,6.72800516527194,3.27581942964074e-34,9.4092347403807e-33
"YDL055C",-0.345470328858046,10.507882322301,7.07671613375351e-34,2.0228468291507e-32
"YDL137W",0.689043869474393,8.65152411718658,3.72419138014346e-33,1.05942501905331e-31
"YDR011W",-0.928336869037038,7.66472280700891,4.10994127076703e-33,1.16356566981476e-31
"YGR244C",0.726301143892313,8.48483877164703,4.33683279311021e-33,1.22195426842063e-31
"YOL105C",1.48276158809014,6.84905582953247,6.65848151827813e-33,1.86721493571809e-31
"YLR150W",-0.298447758464358,10.8977354170109,7.62399738513271e-33,2.12788643999199e-31
"YDR233C",0.708118663541344,8.6115208785431,8.32526729651185e-33,2.31270453490425e-31
"YHR143W",-0.713803234300065,8.70279390875242,8.75021719343186e-33,2.41939416511852e-31
"YOR356W",1.26937629537149,7.26168134240597,2.44338202274386e-32,6.72441461794205e-31
"YER190C-B",1.41384426616051,7.65242046145375,4.17520565724837e-32,1.14373573490457e-30
"YLR256W",-0.740422405545002,8.97949791689568,8.00064040541068e-32,2.18155710962281e-30
"YJL077C",2.13804312111648,5.83526071479277,8.34813570566238e-32,2.2658678426791e-30
"YNL300W",-1.50944927719957,6.1312715478787,2.80297751031401e-31,7.57315887147397e-30
"YBR070C",2.1632004097985,5.77254743079168,3.81649458142357e-31,1.02646356537651e-29
"YDR074W",-0.550633097155299,9.29683671861859,6.38947323445211e-31,1.71070195150467e-29
"YNL327W",-0.78959130542436,8.18781488676022,7.55162470951574e-31,2.01274609937859e-29
"YOL143C",-0.719584139638228,8.3096149655569,8.59129266259706e-31,2.27958200379313e-29
"YDR210C-C",9.46350436634627,5.46562312831501,9.28925934160135e-31,2.45377444304711e-29
"YNL284C-A",4.29607438688604,4.86441993298534,1.53084554782679e-30,4.02578360288494e-29
